Feature name	Feature description	Feature name paper	Feature ID	Feature type	Feature variation	Phenotype1	Description phenotype 1	Phenotype2	Description phenotype 2	Tissue	Tissue description	Experimental	Method	Interaction observed	Name interactive feature	ID interactive feature	Type interactive feature	Organism	Population	T.cruzi strain	Paper PMID	Paper DOI	Paper title	Paper publication date
Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	MIG	ENSMUSG00000029417	Protein	UP	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	MIG	ENSMUSG00000029417	Protein	UP	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
EGR1	early growth response 1	EGR1	ENSG00000120738	Protein	UP	Acute	15 min pi	Healthy		Primary human cardiac myocytes	PHCM	Yes	Western blot	No				Homo sapiens		Tulahuen	26771187	10.1371/journal.pntd.0003747	Early Regulation of Profibrotic Genes in Primary Human Cardiac Myocytes by Trypanosoma cruzi	2016
EGR1	early growth response 1	EGR1	ENSG00000120738	Protein	UP	Acute	30 min pi	Healthy		Primary human cardiac myocytes	PHCM	Yes	Western blot	No				Homo sapiens		Tulahuen	26771187	10.1371/journal.pntd.0003747	Early Regulation of Profibrotic Genes in Primary Human Cardiac Myocytes by Trypanosoma cruzi	2016
EGR1	early growth response 1	EGR1	ENSG00000120738	Protein	UP	Acute	60 min pi	Healthy		Primary human cardiac myocytes	PHCM	Yes	Western blot	No				Homo sapiens		Tulahuen	26771187	10.1371/journal.pntd.0003747	Early Regulation of Profibrotic Genes in Primary Human Cardiac Myocytes by Trypanosoma cruzi	2016
EGR1	early growth response 1	EGR1	ENSG00000120738	Protein	UP	Acute	90 min pi	Healthy		Primary human cardiac myocytes	PHCM	Yes	Western blot	No				Homo sapiens		Tulahuen	26771187	10.1371/journal.pntd.0003747	Early Regulation of Profibrotic Genes in Primary Human Cardiac Myocytes by Trypanosoma cruzi	2016
EGR1	early growth response 1	EGR1	ENSG00000120738	Protein	UP	Acute	120 min pi	Healthy		Primary human cardiac myocytes	PHCM	Yes	Western blot	No				Homo sapiens		Tulahuen	26771187	10.1371/journal.pntd.0003747	Early Regulation of Profibrotic Genes in Primary Human Cardiac Myocytes by Trypanosoma cruzi	2016
F2	coagulation factor II, thrombin	ETP	ENSG00000180210	Protein	UP	Chagas		Healthy		Blood		Yes	Chromogenic thrombin generation assay	No				Homo sapiens	Latin america		26727000	10.1371/journal.pntd.0004269	Altered Hypercoagulability Factors in Patients with Chronic Chagas Disease: Potential Biomarkers of Therapeutic Response	2016
F2	coagulation factor II, thrombin	Prothrombin fragment 1+2	ENSG00000180210	Protein	UP	Chagas		Healthy		Blood		Yes	Automated turbidimetric test	No				Homo sapiens	Latin america		26727000	10.1371/journal.pntd.0004269	Altered Hypercoagulability Factors in Patients with Chronic Chagas Disease: Potential Biomarkers of Therapeutic Response	2016
FGA	fibrinogen alpha chain	D-dimer	ENSG00000171560	Protein	UP	Chagas		Healthy		Blood		Yes	ELISA	No				Homo sapiens	Latin america		26727000	10.1371/journal.pntd.0004269	Altered Hypercoagulability Factors in Patients with Chronic Chagas Disease: Potential Biomarkers of Therapeutic Response	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	UP	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	UP	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	IL-10	ENSMUSG00000016529	Protein	UP	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	IL-10	ENSMUSG00000016529	Protein	UP	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	IL-10	ENSMUSG00000016529	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	IL-10	ENSMUSG00000016529	Protein	UP	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	IL-10	ENSMUSG00000016529	Protein	UP	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	IL-12 p40	ENSMUSG00000004296	Protein	UP	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	IL-12 p40	ENSMUSG00000004296	Protein	UP	Chronic	6 months pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	IL-12 p40	ENSMUSG00000004296	Protein	UP	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	IL-12 p40	ENSMUSG00000004296	Protein	DOWN	Chronic	3 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	IL-12 p40	ENSMUSG00000004296	Protein	DOWN	Chronic	3 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	IL-12 p40	ENSMUSG00000004296	Protein	UP	Chronic	5 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	5 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	3 hours pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	15 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	5 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	5 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	3 hours pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	15 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	5 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Acute	3 hours pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Chronic	3 months pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Chronic	3 months pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	IL-1Î²	ENSMUSG00000027399	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il2	interleukin 2 [Source:MGI Symbol;Acc:MGI:96548]	IL-2	ENSMUSG00000027720	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il2	interleukin 2 [Source:MGI Symbol;Acc:MGI:96548]	IL-2	ENSMUSG00000027720	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il2	interleukin 2 [Source:MGI Symbol;Acc:MGI:96548]	IL-2	ENSMUSG00000027720	Protein	UP	Chronic	6 months pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il2	interleukin 2 [Source:MGI Symbol;Acc:MGI:96548]	IL-2	ENSMUSG00000027720	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il2	interleukin 2 [Source:MGI Symbol;Acc:MGI:96548]	IL-2	ENSMUSG00000027720	Protein	UP	Chronic	6 months pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	UP	Acute	5 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	3 hours pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	5 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	15 days pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Acute	15 days pi	Healthy		Spleen		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Chronic	3 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il3	interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]	IL-3	ENSMUSG00000018914	Protein	DOWN	Chronic	6 months pi	Healthy		Heart		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	G	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
Il4	interleukin 4 [Source:MGI Symbol;Acc:MGI:96556]	IL-4	ENSMUSG00000000869	Protein	UP	Acute	15 days pi	Healthy		Stomach		Yes	LINCOplex Kits, Millipore	No				Mus musculus	C57BL/6	CL-Brener	26827742	10.1016/j.actatropica.2016.01.025	A high throughput analysis of cytokines and chemokines expression during the course of Trypanosoma cruzi experimental oral infection	2016
